idMLL	id	Type	Sub	Ori	LblEN	LblLNG	LastUpd	LastUpdTrad	User	Lng
167	893	Typ	Nnn	TbCnt	is in Europe (27 EU countries)	jest w Europie (27 krajów UE)	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
169	899	Typ	Nnn	TbCnt	is in Europe (geography)	jest w Europie (geografia)	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
171	905	Typ	Nnn	TbCnt	is Orphanet partner	Jest partnerem Orphanetu	2012-02-24 09:53:00	2018-04-12	dkarczma	pl	
173	911	Nnn	Nnn	TbLng	nn	nn	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
175	917	Nnn	Nnn	TbLng	en	en	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
177	923	Nnn	Nnn	TbLng	fr	fr	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
179	929	Nnn	Nnn	TbLng	it	it	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
181	935	Nnn	Nnn	TbLng	es	es	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
183	941	Nnn	Nnn	TbLng	pt	pt	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
185	947	Nnn	Nnn	TbLng	de	de	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
187	953	Nnn	Nnn	TbLng	ce	ce	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
189	959	Nnn	Nnn	TbLng	cs	cs	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
191	965	Nnn	Nnn	TbLng	da	da	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
193	971	Nnn	Nnn	TbLng	et	et	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
195	977	Nnn	Nnn	TbLng	el	el	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
197	983	Nnn	Nnn	TbLng	lv	lv	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
199	989	Nnn	Nnn	TbLng	lt	lt	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
209	995	Nnn	Nnn	TbLng	hu	hu	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
211	1001	Nnn	Nnn	TbLng	mt	mt	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
213	1007	Nnn	Nnn	TbLng	nl	nl	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
215	1013	Nnn	Nnn	TbLng	pl	pl	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
217	1019	Nnn	Nnn	TbLng	sk	sk	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
219	1025	Nnn	Nnn	TbLng	sl	sl	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
221	1031	Nnn	Nnn	TbLng	fi	fi	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
223	1037	Nnn	Nnn	TbLng	sv	sv	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
225	1043	Nnn	Nnn	TbLng	ar	ar	2009-09-19 22:27:00	2018-04-12	dkarczma	pl	
227	1050	Typ	Srv	TbLoc	Genetic counselling	Poradnictwo genetyczne	2014-06-20 17:18:00	2018-04-12	dkarczma	pl	
229	1056	Typ	Srv	TbLoc	Prenatal diagnosis	Diagnostyka prenatalna	2014-06-20 17:18:00	2018-04-12	dkarczma	pl	
231	1062	Typ	Srv	TbLoc	Preimplantation diagnosis	Diagnostyka przeimplantacyjna	2014-07-07 12:35:00	2018-04-12	dkarczma	pl	
